Наименование|Категория|Полное наименование|Мощность, кВт|Номинальная частота вращения, об/мин|Фактическая частота вращения, об/мин|Номинальный ток, А (при U=380В)|Напряжение, В|Количество полюсов|КПД, %|Коэфициент мощности, COS φ|Соотношение токов, Iп/Iн|Соотношение крутящих моментов, Mп/ Mн|Соотношение крутящих моментов, Mтах/ Mн|Момент инерции, кг*м2|Уровень шума, Дб|Габаритные размеры, мм|Высота вала, мм|Масса, кг|Частота, Гц|Класс энергоэффективности|Класс изоляции|Метод охлаждения|Класс защиты (пылевлагозащита)|Климатическое исполнение|Цена, руб.
АИР355S8|Электродвигатели АИР|Электродвигатель АИР355S8 132 кВт 750 об/мин|132|750|740|260|380/660 ( Δ / Y )|8|93.7|0.82|6.4|1.8|2|||1560x1010|355|2000|50|IE1|F|IC411|IP55|У1|655,267.00   
АИР315MB6|Электродвигатели АИР|Электродвигатель АИР315MB6 160 кВт 1000 об/мин|160|1000|985|300|380/660 ( Δ / Y )|6|94.2|0.87|6.7|2|2|||1325x845|315|1200|50|IE1|F|IC411|IP55|У1|0.00   
АИР315S2|Электродвигатели АИР|Электродвигатель АИР315S2 160 кВт 3000 об/мин|160|3000|2975|279|380/660 ( Δ / Y )|2|94.6|0.92|7.1|1.8|2.2|2,8200|99|1190x845|315|945|50|IE1|F|IC411|IP55|У1|381,090.00   
АИР315S4|Электродвигатели АИР|Электродвигатель АИР315S4 160 кВт 1500 об/мин|160|1500|1480|288|380/660 ( Δ / Y )|4|94.9|0.89|6.9|2.1|2.2|2,7000|93|1220x845|315|1000|50|IE1|F|IC411|IP55|У1|388,044.00   
АИР355MA8|Электродвигатели АИР|Электродвигатель АИР355MA8 160 кВт 750 об/мин|160|750|740|315|380/660 ( Δ / Y )|8|94.2|0.82|6.4|1.8|2|7,9000|90|1560x1010|355|2150|50|IE1|F|IC411|IP55|У1|682,630.00   
АИР355S6|Электродвигатели АИР|Электродвигатель АИР355S6 160 кВт 1000 об/мин|160|1000|990|292|380/660 ( Δ / Y )|6|94.5|0.88|6.7|1.9|2|||1560x1010|355|1550|50|IE1|F|IC411|IP55|У1|620,187.00   
АИР315M2|Электродвигатели АИР|Электродвигатель АИР315M2 200 кВт 3000 об/мин|200|3000|2975|348|380/660 ( Δ / Y )|2|94.8|0.92|7.1|1.8|2.2|3,8600|99|1295x845|315|1175|50|IE1|F|IC411|IP55|У1|410,639.00   
АИР315M4|Электродвигатели АИР|Электродвигатель АИР315M4 200 кВт 1500 об/мин|200|1500|1480|360|380/660 ( Δ / Y )|4|94.9|0.89|6.9|2.1|2.2|4,8200|97|1325x845|315|1200|50|IE1|F|IC411|IP55|У1|444,838.00   
АИР355MA6|Электродвигатели АИР|Электродвигатель АИР355MA6 200 кВт 1000 об/мин|200|1000|990|365|380/660 ( Δ / Y )|6|94.5|0.88|6.7|1.9|2|9,5000|92|1560x1010|355|1600|50|IE1|F|IC411|IP55|У1|668,098.00   
АИР355MB8|Электродвигатели АИР|Электродвигатель АИР355MB8 200 кВт 750 об/мин|200|750|740|387|380/660 ( Δ / Y )|8|94.5|0.83|6.4|1.8|2|10,3000|90|1560x1010|355|2400|50|IE1|F|IC411|IP55|У1|801,460.00   
АИР315MB2|Электродвигатели АИР|Электродвигатель АИР315MB2 250 кВт 3000 об/мин|250|3000|3000|433|380/660 ( Δ / Y )|2|94.8|0.92|7.1|1.8|2.2|||1325x845|315|1550|50|IE1|F|IC411|IP55|У1|0.00   
АИР355L8|Электродвигатели АИР|Электродвигатель АИР355L8 250 кВт 750 об/мин|250|750|740|502|380/660 ( Δ / Y )|8|94.5|0.83|6.4|1.8|2|12,3000 |90|1940x950|355|2700|50|IE1|F|IC411|IP55|У1|0.00   
АИР355MB6|Электродвигатели АИР|Электродвигатель АИР355MB6 250 кВт 1000 об/мин|250|1000|990|457|380/660 ( Δ / Y )|6|94.5|0.88|6.7|1.9|2|10,400|92|1560x1010|355|1700|50|IE1|F|IC411|IP55|У1|775,151.00   
АИР355S2|Электродвигатели АИР|Электродвигатель АИР355S2 250 кВт 3000 об/мин|250|3000|2980|433|380/660 ( Δ / Y )|2|95.2|0.92|7.1|1.6|2.2|||1560x1010|355|1900|50|IE1|F|IC411|IP55|У1|710,116.00   
АИР355S4|Электродвигатели АИР|Электродвигатель АИР355S4 250 кВт 1500 об/мин|250|1500|1490|443|380/660 ( Δ / Y )|4|95.2|0.9|6.9|2.1|2.2|||1560x1010|355|1700|50|IE1|F|IC411|IP55|У1|707,636.00   
АИР355M2|Электродвигатели АИР|Электродвигатель АИР355M2 315 кВт 3000 об/мин|315|3000|2980|545|380/660 ( Δ / Y )|2|95.4|0.92|7.1|1.6|2.2|3,0000|103|1560x1010|355|2300|50|IE1|F|IC411|IP55|У1|775,954.00   
АИР355M4|Электродвигатели АИР|Электродвигатель АИР355M4 315 кВт 1500 об/мин|315|1500|1480|559|380/660 ( Δ / Y )|4|95.2|0.9|6.9|2.1|2.2|6,5000|101|1560x1010|355|1900|50|IE1|F|IC411|IP55|У1|758,536.00   
